,rep_0,rep_1
O60884_DNAJA2,0.7806247497997999,0.5
O60885_BRD4,0.2903782475104135,0.40061680838488767
O60888_CUTA,0.44095855184409843,0.0
O60927_PPP1R11,0.2857142857142857,0.15745916432444343
O60930_RNASEH1,0.4330127018922193,0.5
O60934_NBN,,0.9428090415820635
O60936_NOL3,0.692820323027551,
O60941_DTNB,0.24743582965269678,0.5773502691896257
O75022_LILRB3,0.0,0.0
O75023_LILRB5,0.2165063509461097,0.4330127018922193
O75030_MITF,,
O75037_KIF21B,0.0,
O75038_PLCH2,,
O75044_SRGAP2,0.24743582965269678,0.3464101615137754
O75052_NOS1AP,,
O75054_IGSF3,,
O75064_DENND4B,,
O75071_EFCAB14,,
O75081_CBFA2T3,,
O75096_LRP4,,
O75112_LDB3,,
O75113_N4BP1,0.44095855184409843,0.2165063509461097
O75116_ROCK2,0.692820323027551,0.6546536707079771
O75122_CLASP2,0.2165063509461097,0.26646935501059654
O75128_COBL,0.47140452079103173,0.4330127018922193
O75131_CPNE3,0.692820323027551,0.47140452079103173
O75140_DEPDC5,0.7806247497997999,0.5773502691896257
O75143_ATG13,,
O75146_HIP1R,,
O75151_PHF2,0.34641016151377546,0.754983443527075
O75152_ZC3H11A,0.6997638326518478,0.7131973913518906
O75161_NPHP4,0.0,
O75167_PHACTR2,0.8660254037844386,0.3464101615137754
O75170_PPP6R2,0.3333333333333333,
O75175_CNOT3,,
O75179_ANKRD17,,0.47140452079103173
O75182_SIN3B,0.8485281374238569,0.6546536707079771
O75190_DNAJB6,0.47140452079103173,
O75223_GGCT,,
O75348_ATP6V1G1,,
O75351_VPS4B,0.340224265772458,0.030929478706587098
O75355_ENTPD3,,0.0
O75367_MACROH2A1,0.39735970711951313,0.14285714285714285
O75369_FLNB,0.15745916432444337,0.17320508075688773
O75376_NCOR1,0.229128784747792,0.1567630989332169
O75379_VAMP4,0.26646935501059654,0.0
O75381_PEX14,,
O75382_TRIM3,0.32732683535398854,0.41659779045053097
O75385_ULK1,0.458257569495584,0.47186465220442186
O75387_SLC43A1,0.692820323027551,
O75390_CS,,
O75391_SPAG7,0.4330127018922193,
O75396_SEC22B,0.1,0.24743582965269678
O75398_DEAF1,0.692820323027551,
O75400_PRPF40A,0.565685424949238,0.4714045207910317
O75410_TACC1,0.24743582965269678,0.3333333333333333
O75420_GIGYF1,0.25,0.57282196186948
O75427_LRCH4,0.2,0.5094267081084932
O75446_SAP30,,
O75448_MED24,0.6863485850246137,0.3333333333333333
O75449_KATNA1,,0.0
O75475_PSIP1,0.35874277206626426,0.16388869433927222
O75494_SRSF10,0.16666666666666666,0.18232113763882923
O75508_CLDN11,,
O75531_BANF1,0.8660254037844386,0.47140452079103173
O75533_SF3B1,0.0,0.8261355820929153
O75554_WBP4,,
O75563_SKAP2,0.34641016151377546,0.12371791482634839
O75569_PRKRA,0.13856406460551018,0.3333333333333333
O75592_MYCBP2,0.30789608636681304,0.2988899129368565
O75626_PRDM1,0.282842712474619,
O75628_REM1,0.47140452079103173,0.4330127018922193
O75643_SNRNP200,0.7071067811865476,0.3333333333333333
O75665_OFD1,,
O75674_TOM1L1,,0.3535533905932738
O75676_RPS6KA4,0.13323467750529827,0.75
O75683_SURF6,,
O75691_UTP20,0.128564869306645,0.4803844614152614
O75694_NUP155,0.282842712474619,0.5
O75695_RP2,,
O75717_WDHD1,,
O75764_TCEA3,,
O75781_PALM,0.22329687826943603,0.5206782369152241
O75791_GRAP2,0.24743582965269675,0.2165063509461097
O75808_CAPN15,,
O75815_BCAR3,,
O75821_EIF3G,0.1580198515502014,0.26646935501059654
O75822_EIF3J,0.9428090415820635,0.4330127018922193
O75896_TUSC2,0.0,0.47140452079103173
O75907_DGAT1,,
O75909_CCNK,0.2695632761738729,0.6060915267313264
O75923_DYSF,,0.0
O75925_PIAS1,0.0,
O75936_BBOX1,,
O75937_DNAJC8,,
O75947_ATP5PD,,
O75955_FLOT1,,
O75962_TRIO,0.4330127018922193,0.7806247497997999
O75970_MPDZ,0.24743582965269678,0.5
O75971_SNAPC5,,
O75976_CPD,0.0,0.47140452079103173
O75995_SASH3,0.4803844614152614,1.1383575836114417
O76003_GLRX3,,
O76021_RSL1D1,0.47140452079103173,0.47140452079103173
O76024_WFS1,0.4330127018922193,0.0
O76039_CDKL5,,
O76041_NEBL,0.24743582965269678,0.24743582965269678
O76064_RNF8,,
O76074_PDE5A,0.0,
O76080_ZFAND5,0.3464101615137754,0.3464101615137754
O94762_RECQL5,0.24743582965269678,0.47140452079103173
O94763_URI1,0.47140452079103173,
O94768_STK17B,,
O94769_ECM2,0.3464101615137754,0.3149183286488868
O94776_MTA2,0.2165063509461097,0.4330127018922193
O94804_STK10,0.31491832864888675,0.31491832864888675
O94806_PRKD3,0.692820323027551,0.2165063509461097
O94808_GFPT2,0.0,0.2165063509461097
O94811_TPPP,1.225724275683565,0.34641016151377546
O94819_KBTBD11,,
O94826_TOMM70,0.16666666666666666,0.21314305557934138
O94827_PLEKHG5,0.282842712474619,0.4330127018922193
